task_kind,instance_id,seed,p,replicate,task_id,sampler,block_size,shots,comparison_seed,counts_status,missing_reason,low_energy_state_count,low_energy_fraction_rule,top_k,low_energy_probability,enrichment_ratio,improving_probability,found_improvement,best_improvement,route_improvement,shannon_entropy,normalized_entropy,unique_states,coverage,effective_states
primary,seed002_pair1_B2_w8,2,1,1,2608021810408258938,Random,8,1024,2,COMPLETE,,26,0.1,64,0.1220703125,1.2019230769230769,0.0029296875,False,0.0,0.0,7.818551108774495,0.9773188885968119,254,0.9921875,225.74513848405806
primary,seed002_pair1_B2_w8,2,1,1,2608021810408258938,Ideal QAOA Simulator,8,1024,2,COMPLETE,,26,0.1,64,0.1318359375,1.2980769230769231,0.0048828125,False,0.0,0.0,7.814417187757323,0.9768021484696654,254,0.9921875,225.09921068834163
primary,seed002_pair1_B2_w8,2,1,1,2608021810408258938,Quafu Hardware,8,1024,2,COMPLETE,,26,0.1,64,0.0810546875,0.7980769230769231,0.001953125,False,0.0,0.0,7.7447342299743,0.9680917787467875,250,0.9765625,214.48519085738837
primary,seed002_pair1_B2_w8,2,2,1,2608021813552220082,Random,8,1024,2,COMPLETE,,26,0.1,64,0.1220703125,1.2019230769230769,0.0029296875,False,0.0,0.0,7.818551108774495,0.9773188885968119,254,0.9921875,225.74513848405806
primary,seed002_pair1_B2_w8,2,2,1,2608021813552220082,Ideal QAOA Simulator,8,1024,2,COMPLETE,,26,0.1,64,0.1318359375,1.2980769230769231,0.0068359375,True,0.8005815684215065,0.8005815684215065,7.5383263207092845,0.9422907900886606,217,0.84765625,185.8927018232313
primary,seed002_pair1_B2_w8,2,2,1,2608021813552220082,Quafu Hardware,8,1024,2,COMPLETE,,26,0.1,64,0.0234375,0.23076923076923078,0.001953125,False,0.0,0.0,7.415929133917587,0.9269911417396983,225,0.87890625,170.7721770766199
primary,seed003_pair1_B1_w8,3,1,1,2608021821204400442,Random,8,1024,3,COMPLETE,,26,0.1,64,0.08984375,0.8846153846153846,0.0029296875,False,0.0,0.0,7.793408868453627,0.9741761085567033,250,0.9765625,221.84509856559964
primary,seed003_pair1_B1_w8,3,1,1,2608021821204400442,Ideal QAOA Simulator,8,1024,3,COMPLETE,,26,0.1,64,0.138671875,1.3653846153846154,0.0068359375,False,0.0,0.0,7.676857843111648,0.959607230388956,239,0.93359375,204.6277284513212
primary,seed003_pair1_B1_w8,3,1,1,2608021821204400442,Quafu Hardware,8,1024,3,COMPLETE,,26,0.1,64,0.158203125,1.5576923076923077,0.0068359375,False,0.0,0.0,7.610306031929836,0.9512882539912295,238,0.9296875,195.40262416572605
primary,seed003_pair1_B1_w8,3,2,1,2608021821302408472,Random,8,1024,3,COMPLETE,,26,0.1,64,0.08984375,0.8846153846153846,0.0029296875,False,0.0,0.0,7.793408868453627,0.9741761085567033,250,0.9765625,221.84509856559964
primary,seed003_pair1_B1_w8,3,2,1,2608021821302408472,Ideal QAOA Simulator,8,1024,3,COMPLETE,,26,0.1,64,0.068359375,0.6730769230769231,0.01171875,True,0.5495998254435221,0.5495998254435221,7.711625973306118,0.9639532466632648,245,0.95703125,209.61904270704366
primary,seed003_pair1_B1_w8,3,2,1,2608021821302408472,Quafu Hardware,8,1024,3,COMPLETE,,26,0.1,64,0.0830078125,0.8173076923076923,0.00390625,False,0.0,0.0,7.630432420930951,0.9538040526163689,240,0.9375,198.1477013514791
primary,seed007_pair2_B1_w8,7,1,1,2608021821430128485,Random,8,1024,7,COMPLETE,,26,0.1,64,0.115234375,1.1346153846153846,0.0361328125,True,1.9570662933267755,1.9570662933267755,7.7784825572490455,0.9723103196561307,248,0.96875,219.5616927944093
primary,seed007_pair2_B1_w8,7,1,1,2608021821430128485,Ideal QAOA Simulator,8,1024,7,COMPLETE,,26,0.1,64,0.1279296875,1.2596153846153846,0.01953125,True,0.5747736673325647,0.5747736673325647,7.767509258398285,0.9709386572997857,247,0.96484375,217.89801722393327
primary,seed007_pair2_B1_w8,7,1,1,2608021821430128485,Quafu Hardware,8,1024,7,COMPLETE,,26,0.1,64,0.103515625,1.0192307692307692,0.02734375,True,0.9893871228300952,0.9893871228300952,7.713943459526181,0.9642429324407726,243,0.94921875,209.95603674537657
