task_kind,instance_id,seed,p,replicate,task_id,baseline_sampler,counts_status,entropy_delta_hardware_minus_baseline,low_energy_probability_delta_hardware_minus_baseline,enrichment_delta_hardware_minus_baseline,route_improvement_delta_hardware_minus_baseline,hardware_entropy_lower,hardware_low_energy_probability_higher,lower_entropy_and_higher_low_energy_probability
primary,seed002_pair1_B2_w8,2,1,1,2608021810408258938,Random,COMPLETE,-0.07381687880019516,-0.041015625,-0.40384615384615374,0.0,True,False,False
primary,seed002_pair1_B2_w8,2,1,1,2608021810408258938,Ideal QAOA Simulator,COMPLETE,-0.06968295778302291,-0.05078125,-0.5,0.0,True,False,False
primary,seed002_pair1_B2_w8,2,2,1,2608021813552220082,Random,COMPLETE,-0.40262197485690887,-0.0986328125,-0.971153846153846,0.0,True,False,False
primary,seed002_pair1_B2_w8,2,2,1,2608021813552220082,Ideal QAOA Simulator,COMPLETE,-0.12239718679169798,-0.1083984375,-1.0673076923076923,-0.8005815684215065,True,False,False
primary,seed003_pair1_B1_w8,3,1,1,2608021821204400442,Random,COMPLETE,-0.18310283652379056,0.068359375,0.6730769230769231,0.0,True,True,True
primary,seed003_pair1_B1_w8,3,1,1,2608021821204400442,Ideal QAOA Simulator,COMPLETE,-0.06655181118181197,0.01953125,0.1923076923076923,0.0,True,True,True
primary,seed003_pair1_B1_w8,3,2,1,2608021821302408472,Random,COMPLETE,-0.16297644752267537,-0.0068359375,-0.06730769230769229,0.0,True,False,False
primary,seed003_pair1_B1_w8,3,2,1,2608021821302408472,Ideal QAOA Simulator,COMPLETE,-0.08119355237516679,0.0146484375,0.14423076923076916,-0.5495998254435221,True,True,True
primary,seed007_pair2_B1_w8,7,1,1,2608021821430128485,Random,COMPLETE,-0.06453909772286437,-0.01171875,-0.11538461538461542,-0.9676791704966803,True,False,False
primary,seed007_pair2_B1_w8,7,1,1,2608021821430128485,Ideal QAOA Simulator,COMPLETE,-0.05356579887210433,-0.0244140625,-0.24038461538461542,0.4146134554975305,True,False,False
primary,seed007_pair2_B1_w8,7,2,1,2608021821517655181,Random,COMPLETE,-0.7687856518240039,-0.0146484375,-0.14423076923076916,-0.9676791704966803,True,False,False
primary,seed007_pair2_B1_w8,7,2,1,2608021821517655181,Ideal QAOA Simulator,COMPLETE,-0.09062964345200353,-0.1884765625,-1.8557692307692308,-0.5804521406008405,True,False,False
primary,seed013_pair2_B1_w8,13,1,1,2608021822005823839,Random,COMPLETE,-0.03837201136781232,-0.0107421875,-0.10576923076923084,-1.845553314265615,True,False,False
primary,seed013_pair2_B1_w8,13,1,1,2608021822005823839,Ideal QAOA Simulator,COMPLETE,-0.019618450689752542,-0.0205078125,-0.20192307692307687,-1.845553314265615,True,False,False
primary,seed013_pair2_B1_w8,13,2,1,2608021822140385318,Random,COMPLETE,-0.42123297065615084,-0.0791015625,-0.778846153846154,-1.845553314265615,True,False,False
primary,seed013_pair2_B1_w8,13,2,1,2608021822140385318,Ideal QAOA Simulator,COMPLETE,-0.1207544144480277,-0.05078125,-0.5,0.0,True,False,False
primary,seed015_pair1_B1_w8,15,1,1,2608021822227789039,Random,COMPLETE,-0.05623427089649535,0.017578125,0.17307692307692313,-0.21785912478151204,True,True,True
primary,seed015_pair1_B1_w8,15,1,1,2608021822227789039,Ideal QAOA Simulator,COMPLETE,-0.043293137652582914,0.013671875,0.13461538461538458,0.0,True,True,True
primary,seed015_pair1_B1_w8,15,2,1,2608021822316487475,Random,COMPLETE,-0.1255761285667374,-0.0068359375,-0.06730769230769229,-0.021463353417544795,True,False,False
primary,seed015_pair1_B1_w8,15,2,1,2608021822316487475,Ideal QAOA Simulator,COMPLETE,-0.08608164124113582,0.0263671875,0.2596153846153846,-0.39581955226012155,True,True,True
primary,seed018_pair1_B1_w8,18,1,1,2608021822404570977,Random,COMPLETE,-0.08040533259114291,0.0107421875,0.10576923076923084,0.12838831360964775,True,True,True
primary,seed018_pair1_B1_w8,18,1,1,2608021822404570977,Ideal QAOA Simulator,COMPLETE,-0.08032783574808455,0.0087890625,0.08653846153846168,-0.1718976429750967,True,True,True
primary,seed018_pair1_B1_w8,18,2,1,2608021822494328500,Random,COMPLETE,-0.6164279323803727,0.0673828125,0.6634615384615385,0.0,True,True,True
primary,seed018_pair1_B1_w8,18,2,1,2608021822494328500,Ideal QAOA Simulator,COMPLETE,0.4623278903674688,-0.2158203125,-2.125,-0.30028595658474444,False,False,False
primary,seed002_pair1_B2_w8,2,3,1,2608021823308491549,Random,COMPLETE,-0.7511577364205548,0.0517578125,0.5096153846153846,0.0,True,True,True
primary,seed002_pair1_B2_w8,2,3,1,2608021823308491549,Ideal QAOA Simulator,COMPLETE,0.7221252324911269,-0.0341796875,-0.33653846153846145,-0.8005815684215065,False,False,False
primary,seed003_pair1_B1_w8,3,3,1,2608021823413631437,Random,COMPLETE,-1.0399881222785465,0.2119140625,2.0865384615384617,0.0,True,True,True
primary,seed003_pair1_B1_w8,3,3,1,2608021823413631437,Ideal QAOA Simulator,COMPLETE,0.8896934994470875,-0.2314453125,-2.2788461538461537,0.0,False,False,False
primary,seed007_pair2_B1_w8,7,3,1,2608021823508897152,Random,COMPLETE,-0.7135102422841344,0.01953125,0.1923076923076923,-0.9676791704966803,True,True,True
primary,seed007_pair2_B1_w8,7,3,1,2608021823508897152,Ideal QAOA Simulator,COMPLETE,0.018713099898671537,-0.193359375,-1.903846153846154,0.3951557920445481,False,False,False
primary,seed019_pair1_B2_w8,19,1,1,2608021832354729697,Random,COMPLETE,-0.01996344036332154,0.005859375,0.05769230769230749,0.0,True,True,True
